,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Best Time to visit,,Description
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,Yes,None,Religious,No,All,,A unique shrine honoring an Indian Army soldier revered as the guardian spirit of the border region.
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2,4.5,0,Yes,None,Nature,Yes,Morning,,A stunning glacial lake surrounded by snow-capped mountains and breathtaking alpine scenery.
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2,4.6,0,Yes,None,Religious,No,All,,"One of India's most revered Shakti Peethas, dedicated to Goddess Kamakhya atop Nilachal Hill."
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,No,None,Wildlife,No,Morning,,A UNESCO World Heritage Site famous for its thriving population of one-horned rhinoceroses.
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,4.1,0,Yes,None,Nature,Yes,Morning,,"The world's smallest inhabited river island, home to a revered Shiva temple on the Brahmaputra River."
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,No,None,Historical,Yes,All,,An impressive Shiva temple complex showcasing the grandeur of Ahom architecture.
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2,4.7,0,No,None,Cultural,Yes,Morning,,"The world's largest inhabited river island, renowned for its Vaishnavite monasteries and vibrant culture."
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,No,None,Wildlife,Yes,Morning,,"A UNESCO World Heritage Site celebrated for its pristine forests, rare wildlife, and scenic beauty."
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1,4.5,0,No,None,Religious,Yes,All,,A revered hilltop temple blending Hindu and Buddhist traditions in a serene setting.
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,None,Wildlife,Yes,All,,A compact sanctuary renowned for its exceptionally high density of one-horned rhinoceroses.
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,No,None,Religious,No,Morning,,"India's largest monastery, offering breathtaking Himalayan views and rich Tibetan Buddhist heritage."
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,All,,"A magnificent royal palace showcasing Tripura's history, culture, and architectural elegance."
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1,4.5,0,No,None,Nature,Yes,Morning,,"A tranquil lake dotted with islands, popular for boating, birdwatching, and scenic beauty."
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,None,Historical,Yes,Morning,,An extraordinary archaeological site featuring massive rock-cut sculptures and ancient Hindu carvings.
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,None,Nature,Yes,Morning,,"India's widest waterfall, admired for its horseshoe-shaped cascade and spectacular monsoon views."
286,North Eastern,Nagaland,Dz√ºkou Valley,Dz√ºkou Valley,Valley,Unknown,3,4.7,0,No,None,Trekking,Yes,Afternoon,,A breathtaking valley famous for rolling green hills and vibrant seasonal wildflowers.
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1,4.5,0,Yes,None,Recreational,Yes,Morning,,A charming waterfront promenade ideal for leisurely walks and stunning sunrise views.
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,None,Cultural,Yes,All,,"An experimental international township promoting peace, sustainable living, and human unity."
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1,4.5,200,Yes,None,Recreational,Yes,Morning,,"A pristine sandy beach accessible by boat, known for its crystal-clear waters and tranquility."
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,Afternoon,,A historic colonial prison preserving the legacy of India's freedom struggle in the Andaman Islands.
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1,4.8,0,No,None,Nature,Yes,Morning,,"One of Asia's finest beaches, renowned for pristine white sands and turquoise waters."
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1,4.5,0,No,None,Nature,Yes,Morning,,"A serene island beach famous for shallow waters, snorkeling, and vibrant coral reefs."
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,None,Nature,Yes,Morning,,Spectacular natural caves showcasing fascinating limestone formations created over thousands of years.
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1,4.5,0,No,None,Nature,Yes,Afternoon,,Unique rock formations and interconnected caves known for their natural beauty and historical significance.
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,None,Historical,Yes,Afternoon,,"A majestic Portuguese fort overlooking the Arabian Sea, reflecting centuries of colonial heritage."
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,Yes,All,,"One of the twelve sacred Jyotirlingas, attracting millions of pilgrims every year."
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,4.6,0,Yes,None,Religious,Yes,All,,"A hilltop temple dedicated to Lord Shiva, offering panoramic views of Ranchi city."
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,None,Religious,Yes,All,,A UNESCO World Heritage Site marking the place where Lord Buddha attained enlightenment.
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,None,Wildlife,Yes,All,,A renowned zoological park and botanical garden featuring diverse wildlife and lush greenery.
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1,4.7,0,Yes,None,Religious,Yes,All,,One of Sikhism's five Takhts and the birthplace of Guru Gobind Singh Ji.
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,4.4,10,Yes,None,Cultural,Yes,All,,A peaceful park commemorating Lord Buddha with meditation spaces and sacred relics.
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,Afternoon,,"A premier live entertainment destination showcasing India's culture, theatre, and cuisine."
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2,4.6,0,Yes,None,Shopping,Yes,Afternoon,,"One of India's largest shopping destinations featuring premium brands, dining, and entertainment."
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2,4.7,0,Yes,None,Entertainment,Yes,Afternoon,,"A vibrant lifestyle hub offering world-class restaurants, cafÈs, nightlife, and live events."
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,4.8,0,Yes,None,Religious,Yes,All,,"A prominent Sikh shrine renowned for its golden dome, sacred pond, and community kitchen."
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,None,Religious,No,All,,"One of the holiest Shiva temples, nestled amidst the majestic Garhwal Himalayas."
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,None,Shopping,Yes,All,,"One of India's largest malls, offering extensive shopping, dining, and entertainment experiences."
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,4.2,0,Yes,None,Shopping,Yes,All,,"A unique shopping mall inspired by Venice, featuring indoor canals and gondola rides."
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,None,Entertainment,Yes,All,,"A leading amusement park featuring thrilling rides, water attractions, and family entertainment."
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,Afternoon,,A renowned zoo and botanical garden famous for white tigers and safari experiences.
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,None,Shopping,Yes,All,,"A modern shopping destination featuring premium retail stores, restaurants, and multiplex cinemas."
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,None,Shopping,Yes,All,,A popular shopping and entertainment hub in Hyderabad offering diverse retail and dining options.
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,None,Historical,Yes,All,,"One of India's largest mosques, celebrated for its magnificent Mughal architecture and historical significance."
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,None,Religious,No,All,,"One of the sacred Char Dham pilgrimage sites, renowned for its magnificent corridors and Dravidian architecture."
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,All,,India's premier Formula racing circuit hosting world-class motorsport events and experiences.
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,None,Shopping,Yes,All,,"A premium shopping mall in Lucknow featuring luxury brands, entertainment, and fine dining."
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,None,Shopping,Yes,All,,"One of India's largest shopping malls offering global brands, entertainment, and family attractions."
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,Morning,,An engaging museum showcasing India's railway heritage through vintage locomotives and interactive exhibits.
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,4.6,0,No,None,Nature,Yes,Morning,,"A remarkable natural bridge formed by living tree roots, showcasing Meghalaya's unique bioengineering tradition."
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,All,,"A magnificent Hindu temple complex celebrated for intricate carvings, exhibitions, and spectacular fountain shows."
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,None,Historical,Yes,Afternoon,,"A UNESCO World Heritage fortress showcasing magnificent Mughal palaces, courtyards, and royal history."
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,All,,"A fascinating museum celebrating the art, culture, and traditions of Madhya Pradesh's tribal communities."
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,None,Historical,Yes,Morning,,"A magnificent royal palace showcasing regal architecture, museums, and the rich heritage of Jaipur."
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,None,Historical,Yes,All,,"Rajasthan's oldest museum, renowned for its Indo-Saracenic architecture and diverse historical collections."
